X,Y,COMPANY_NAME,BUSINESS_FULL_ADDRESS,CITY,PROVINCE,POSTAL_CODE,PHONE,WEBURL,PRODUCT_DESC
-79.70465887,43.75969153,BRAMALEA ELEVATOR LTD.,52-2500 WILLIAMS PKY,BRAMPTON,ON,L6S 5M9,905-792-1360,www.bramaleaelevator.com,MANUFACTURE ELEVATORS
-79.70148341,43.75898972,WELLNESS MARTIAL ARTS,2-2131 WILLIAMS PKY,,,,905-790-3382,wellnessmartialarts.com,
-79.70212848,43.75839498,NEW WORLD STAINED GLASS,48-2053 WILLIAMS PKY,,,,416-879-6882,,
-79.68018181,43.71239619,SIDHU AUTO AND TRUCK REPAIR SERVICES,13-14-28 MELANIE DR,BRAMPTON,ON,L6T 4H7,905-458-1350,,AUTOMOTIVE/TRUCK REPAIR & SERVICE
-79.70103012,43.75872819,STAR LOGISTICS,11-2131 WILLIAMS PKY,,,,905-790-0000,,
-79.78040205,43.71496007,PENINSULA CAKE HOUSE,13-380 BOVAIRD DR E,BRAMPTON,ON,L6Z2S7,905-451-7788,,BAKERS RETAIL
-79.78773771,43.68173921,KINGDOM HOUSE,3A-40 HOLTBY AVE,BRAMPTON,ON,L6X 1M2,905-459-5422,www.kingdomhouse.com/,CHURCH
-79.76442654,43.67636407,HAGGART AVE ROOFING LTD,27 HAGGERT AVE S,BRAMPTON,ON,L6Y 2C2,905-456-8500,http://haggartroofing.com/,FLAT ROOFING COMMERCIAL AND INDUSTRIAL
-79.80400353,43.70264277,BARTON ENGINEERING AND MANUFACTURING LTD.,2 LOWRY DR,BRAMPTON,ON,L7A 1C4,905-453-0600,www.bartonengineering.ca,CNC AND STAMPING EQUIPMENT
-79.7845933,43.68333031,WIREX CONTROLS LTD.,27-9446 MCLAUGHLIN RD N,BRAMPTON,ON,L6X 4H9,905-459-0742,www.wirexcontrols.com,DISTRIBUTION OF WIRING & CONTROL PRODUCTS
-79.79970567,43.71371774,DR. PAT MARTINO,13-13 FISHERMAN DR,BRAMPTON,ON,L7A 2X9,905-495-8597,,DENTIST
-79.80931053,43.7073847,DAY AND ROSS INC.,170 VAN KIRK DR,BRAMPTON,ON,L7A 1K9,905-846-6300,www.dayross.ca,REFRIGERATED TRANSPORTATION OF PERISHABLE AND FROZEN COMMODITIES
-79.7083828,43.75447265,LYTE ENTERPRISES (2005) INC,101-2 AUTOMATIC RD,BRAMPTON,ON,M6S 6K8,416-233-5983,,TRANSPORTATION AND LOGISTICS
-79.73619158,43.69524044,GMF TRANSPORT LTD.,110 ORENDA RD,BRAMPTON,ON,L6W 3W6,905-459-1717,,TRANSPORT OF LIVE AND FROZEN POULTRY
-79.71057012,43.75779815,MD FOOD TRANSPORTING LTD.,19 AUTOMATIC RD,BRAMPTON,ON,L6S 4K6,905-793-8935,,STORAGE AND TRANSPORTATION OF FRESH/FROZEN FOOD
-79.73924964,43.7024465,PIZZA HUT,295 QUEEN ST E,BRAMPTON,ON,L6W 2C2,905-454-8888,www.pizzahut.ca,PIZZA DELIVERY & RESTAURANT
-79.79936107,43.69816058,NEW FOCUS OPTICAL,3-10061 MCLAUGHLIN RD,BRAMPTON,ON,L7A 2X5,905-846-0084,,OPTICAL LAB & EYE EXAM
-79.80017101,43.69649033,CELL & PC,18-10088 MCLAUGHLIN RD N,BRAMPTON,ON,L7A 2X6,905-497-6661,www.cellandpc.com,COMPUTER & CELL PHONE SALES & REPAIRS
-79.76869166,43.67576169,MAJESTIC E-CIGARETTES,9-4 MCLAUGHLIN RD S,BRAMPTON,ON,L6Y 3B2,905-454-3244,,E-CIGARETTES
-79.7699085,43.63339526,COMPLETE CARE PHYSIO,B6-8015 FINANCIAL DR,BRAMPTON,ON,L6Y 0B4,905-457-2200 ,www.completecarephysio.com,PHYSIOTHERAPY
-79.76998668,43.63344252,DELUXE SPA,5-8015 FINANCIAL DR,BRAMPTON,ON,L6Y 6A1,905-459-6888,http://deluxespa.ca/,SPA
-79.76890228,43.63240436,BRAMISS PHARMACY,2B-7955 FINANCIAL DR,BRAMPTON,ON,L6Y 0T8,905-460-8877,,PHARMACIES
-79.76908511,43.63266217,PIZZA DEPOT,1A-7985 FINANCIAL DR,BRAMPTON,ON,L6Y 0J8,905-452-9711,www.pizza-depot.com,PIZZA - TAKE OUT
-79.65420783,43.73375487,CONCEUS,4 PAGET RD,BRAMPTON,ON,L6T 5G3,905-799-5883,www.conceus.com,MEDICAL DEVICE DEVELOPMENT AND ISPOSABLES
-79.68278826,43.73483896,SODHI FURNITURE WAREHOUSE,74 DEVON RD,BRAMPTON,ON,L6T 5H3,905-791-4723,www.sodhifurniture.com,FURNITURE STORE
-79.72233907,43.71578527,CELLROX,25 PEEL CENTRE DR,BRAMPTON,ON,L6T 3R5,905-799-4781,,SELLING CELL PHONE CASES AND ACCESSORIES
-79.74713054,43.66395276,YOGITARA ENTERPRISE INC,25 MOZART CRES,BRAMPTON,ON,L6Y 2W6,647-339-1092,WWW.HARIMANENTERPRISE.INFO,FENCES AND SECURITY ENCLOSURES
-79.65548102,43.733983,STACKTECK,2 PAGET RD,BRAMPTON,ON,L6T 5S2,416-749-1698,www.stackteck.com,MOULD MANUFACTURER
-79.65453193,43.73521694,STACKTECK,1 PAGET RD,BRAMPTON,ON,L6T 5S2,416-749-1698,www.stackteck.com,"DESIGN AND MANUFACTURE OF HIGH PRODUCTIVITY PLASTIC INJECTION MOLDS/TOOLING FOR PACKAGING, MEDICAL, AND CONSUMER PRODUCTS"
-79.80061795,43.71486011,TRUCK ACCESSORIES PLUS,18-2 FISHERMAN DR,BRAMPTON,ON,L7A 1B5,905-846-1016,www.truckaccessories.com,"TRUCK ACCESSORIES  (HITCHES, LIDS AND CUPS)"
-79.80256923,43.7130639,HUTCHINS & SON AUTOMOTIVE LIMITED,20 FISHERMAN DR,BRAMPTON,ON,L7A 1G2,905-840-3470,,AUTOMOTIVE REPAIR & SERVICE
-79.76458898,43.67786592,DAVID SLOSKI PIANO TECHNICIAN,25 ROYCE AVE,BRAMPTON,ON,L6Y 1J6,905-459-8133,,PIANO TECHNICIAN
-79.76329319,43.67831921,BRASS BELLES POLE DANCE AND FITNESS STUDIO,10 HENDERSON AVE,BRAMPTON,ON,L6Y 2A3,905-450-7746,www.brassbelles.ca,"DANCE, FITNESS CLASSES, PERSONAL TRAINING, STAGETTE PARTIES"
-79.79456172,43.6931174,NIRVAH INC,203-9800 MCLAUGHLIN RD N,BRAMPTON,ON,L6X 4R1,905-488-8314,www.nirvah.com,SCIENTIFIC AND TECHNICAL CONSULTING
-79.81582807,43.71027154,NANAK PHARMACY,10725 MCLAUGHLIN RD N,BRAMPTON,ON,L7A 3E5,905-216-3792,,PHARMACY
-79.80017101,43.69649033,DIVA'S BEAUTY SALON,7-10088 MCLAUGHLIN RD S,BRAMPTON,ON,L7A 2X6,905-495-7725,http://www.divabeautysalon.ca/,HAIR SALON
-79.70880374,43.75629764,DEBRO INC,11 AUTOMATIC RD,BRAMPTON,ON,L6S 4K6,905-799-8200,www.debro.com,"DISTRIBUTION OF INDUSTRIAL CHEMICALS, FOOD CHEMICALS"
